"ensembl_gene_id" "external_gene_name" "entrezgene" "description" "percentage_gc_content" "chromosome_name"
"1" "ENSG00000000938" "FGR" 2268 "FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]" 52.97 "1"
"1051" "ENSG00000103769" "RAB11A" 8766 "RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9760]" 40.1 "15"
"1052" "ENSG00000103811" "CTSH" 1512 "cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]" 52.42 "15"
"1053" "ENSG00000103855" "CD276" 80381 "CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]" 52.51 "15"
"1054" "ENSG00000103978" "TMEM87A" 25963 "transmembrane protein 87A [Source:HGNC Symbol;Acc:HGNC:24522]" 38.93 "15"
"1055" "ENSG00000103994" "ZNF106" 64397 "zinc finger protein 106 [Source:HGNC Symbol;Acc:HGNC:12886]" 41.35 "15"
"1056" "ENSG00000104067" "TJP1" 7082 "tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]" 40.21 "15"
"1057" "ENSG00000104133" "SPG11" 80208 "spastic paraplegia 11 (autosomal recessive) [Source:HGNC Symbol;Acc:HGNC:11226]" 41.28 "15"
"1058" "ENSG00000104164" "BLOC1S6" 26258 "biogenesis of lysosomal organelles complex-1, subunit 6, pallidin [Source:HGNC Symbol;Acc:HGNC:8549]" 39.68 "15"
"1059" "ENSG00000104324" "CPQ" 10404 "carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]" 38.13 "8"
"1060" "ENSG00000104325" "DECR1" 1666 "2,4-dienoyl CoA reductase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:2753]" 38.15 "8"
"1061" "ENSG00000104331" "IMPAD1" 54928 "inositol monophosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26019]" 38.21 "8"
"1062" "ENSG00000104332" "SFRP1" 6422 "secreted frizzled-related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]" 48.62 "8"
"1063" "ENSG00000104341" "LAPTM4B" 55353 "lysosomal protein transmembrane 4 beta [Source:HGNC Symbol;Acc:HGNC:13646]" 44 "8"
"1064" "ENSG00000104365" "IKBKB" 3551 "inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Source:HGNC Symbol;Acc:HGNC:5960]" 48.25 "8"
"1065" "ENSG00000104368" "PLAT" 5327 "plasminogen activator, tissue [Source:HGNC Symbol;Acc:HGNC:9051]" 48.79 "8"
"1066" "ENSG00000104388" "RAB2A" 5862 "RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]" 39.18 "8"
"1067" "ENSG00000104408" "EIF3E" 3646 "eukaryotic translation initiation factor 3, subunit E [Source:HGNC Symbol;Acc:HGNC:3277]" 37.25 "8"
"1068" "ENSG00000104419" "NDRG1" 10397 "N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]" 50.32 "8"
"1069" "ENSG00000104435" "STMN2" 11075 "stathmin 2 [Source:HGNC Symbol;Acc:HGNC:10577]" 38.21 "8"
"1070" "ENSG00000104517" "UBR5" 51366 "ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]" 38.38 "8"
"1071" "ENSG00000104518" "GSDMD" 79792 "gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]" 62.14 "8"
"1072" "ENSG00000104529" "EEF1D" 1936 "eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) [Source:HGNC Symbol;Acc:HGNC:3211]" 61.99 "8"
"1073" "ENSG00000104613" "INTS10" 55174 "integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]" 41.11 "8"
"1074" "ENSG00000104635" "SLC39A14" 23516 "solute carrier family 39 (zinc transporter), member 14 [Source:HGNC Symbol;Acc:HGNC:20858]" 48.28 "8"
"1075" "ENSG00000104695" "PPP2CB" 5516 "protein phosphatase 2, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:HGNC:9300]" 41.95 "8"
"1076" "ENSG00000104722" "NEFM" 4741 "neurofilament, medium polypeptide [Source:HGNC Symbol;Acc:HGNC:7734]" 49.83 "8"
"1077" "ENSG00000104728" "ARHGEF10" 9639 "Rho guanine nucleotide exchange factor (GEF) 10 [Source:HGNC Symbol;Acc:HGNC:14103]" 50 "8"
"1078" "ENSG00000104763" "ASAH1" 427 "N-acylsphingosine amidohydrolase (acid ceramidase) 1 [Source:HGNC Symbol;Acc:HGNC:735]" 40.82 "8"
"1079" "ENSG00000104765" "BNIP3L" 665 "BCL2/adenovirus E1B 19kDa interacting protein 3-like [Source:HGNC Symbol;Acc:HGNC:1085]" 43.64 "8"
"1080" "ENSG00000104774" "MAN2B1" 4125 "mannosidase, alpha, class 2B, member 1 [Source:HGNC Symbol;Acc:HGNC:6826]" 53.98 "19"
"1081" "ENSG00000104805" "NUCB1" 4924 "nucleobindin 1 [Source:HGNC Symbol;Acc:HGNC:8043]" 52.81 "19"
"1082" "ENSG00000104812" "GYS1" 2997 "glycogen synthase 1 (muscle) [Source:HGNC Symbol;Acc:HGNC:4706]" 52.54 "19"
"1083" "ENSG00000104823" "ECH1" 1891 "enoyl CoA hydratase 1, peroxisomal [Source:HGNC Symbol;Acc:HGNC:3149]" 51.47 "19"
"1084" "ENSG00000104824" "HNRNPL" 3191 "heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:HGNC:5045]" 53.73 "19"
"1085" "ENSG00000104833" "TUBB4A" 10382 "tubulin, beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]" 56.05 "19"
"1086" "ENSG00000104852" "SNRNP70" 6625 "small nuclear ribonucleoprotein 70kDa (U1) [Source:HGNC Symbol;Acc:HGNC:11150]" 53.38 "19"
"1087" "ENSG00000104853" "CLPTM1" 1209 "cleft lip and palate associated transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:2087]" 52.83 "19"
"1088" "ENSG00000104859" "CLASRP" 11129 "CLK4-associating serine/arginine rich protein [Source:HGNC Symbol;Acc:HGNC:17731]" 54.02 "19"
"1089" "ENSG00000104870" "FCGRT" 2217 "Fc fragment of IgG, receptor, transporter, alpha [Source:HGNC Symbol;Acc:HGNC:3621]" 52.9 "19"
"1090" "ENSG00000104879" "CKM" 1158 "creatine kinase, muscle [Source:HGNC Symbol;Acc:HGNC:1994]" 53.07 "19"
"1091" "ENSG00000104881" "PPP1R13L" 10848 "protein phosphatase 1, regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838]" 53.44 "19"
"1092" "ENSG00000104888" "SLC17A7" 57030 "solute carrier family 17 (vesicular glutamate transporter), member 7 [Source:HGNC Symbol;Acc:HGNC:16704]" 57.71 "19"
"1093" "ENSG00000104904" "OAZ1" 4946 "ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]" 64.06 "19"
"1094" "ENSG00000104936" "DMPK" 1760 "dystrophia myotonica-protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]" 59.04 "19"
"1095" "ENSG00000104946" "TBC1D17" 79735 "TBC1 domain family, member 17 [Source:HGNC Symbol;Acc:HGNC:25699]" 57.5 "19"
"1096" "ENSG00000104957" "CCDC130" 81576 "coiled-coil domain containing 130 [Source:HGNC Symbol;Acc:HGNC:28118]" 50.36 "19"
"1097" "ENSG00000104960" "PTOV1" 53635 "prostate tumor overexpressed 1 [Source:HGNC Symbol;Acc:HGNC:9632]" 61.87 "19"
"1098" "ENSG00000104964" "AES" 166 "amino-terminal enhancer of split [Source:HGNC Symbol;Acc:HGNC:307]" 60.37 "19"
"1099" "ENSG00000104969" "SGTA" 6449 "small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha [Source:HGNC Symbol;Acc:HGNC:10819]" 57.8 "19"
"1100" "ENSG00000104973" "MED25" 81857 "mediator complex subunit 25 [Source:HGNC Symbol;Acc:HGNC:28845]" 56.01 "19"
"1101" "ENSG00000105048" "TNNT1" 7138 "troponin T type 1 (skeletal, slow) [Source:HGNC Symbol;Acc:HGNC:11948]" 55.64 "19"
"1102" "ENSG00000105058" "FAM32A" 26017 "family with sequence similarity 32, member A [Source:HGNC Symbol;Acc:HGNC:24563]" 52.93 "19"
"1103" "ENSG00000105063" "PPP6R1" 22870 "protein phosphatase 6, regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:29195]" 56.47 "19"
"1104" "ENSG00000105141" "CASP14" 23581 "caspase 14, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1502]" 47.7 "19"
"1105" "ENSG00000105176" "URI1" 8725 "URI1, prefoldin-like chaperone [Source:HGNC Symbol;Acc:HGNC:13236]" 37.88 "19"
"1106" "ENSG00000105193" "RPS16" 6217 "ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396]" 50.95 "19"
"1107" "ENSG00000105202" "FBL" 2091 "fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]" 48.35 "19"
"1108" "ENSG00000105220" "GPI" 2821 "glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]" 52.45 "19"
"1109" "ENSG00000105221" "AKT2" 208 "v-akt murine thymoma viral oncogene homolog 2 [Source:HGNC Symbol;Acc:HGNC:392]" 53.61 "19"
"1110" "ENSG00000105223" "PLD3" 23646 "phospholipase D family, member 3 [Source:HGNC Symbol;Acc:HGNC:17158]" 52.33 "19"
"1111" "ENSG00000105227" "PRX" 57716 "periaxin [Source:HGNC Symbol;Acc:HGNC:13797]" 55.82 "19"
"1112" "ENSG00000105245" "NUMBL" 9253 "numb homolog (Drosophila)-like [Source:HGNC Symbol;Acc:HGNC:8061]" 52.55 "19"
"1113" "ENSG00000105254" "TBCB" 1155 "tubulin folding cofactor B [Source:HGNC Symbol;Acc:HGNC:1989]" 55.29 "19"
"1114" "ENSG00000105270" "CLIP3" 25999 "CAP-GLY domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]" 52.71 "19"
"1115" "ENSG00000105281" "SLC1A5" 6510 "solute carrier family 1 (neutral amino acid transporter), member 5 [Source:HGNC Symbol;Acc:HGNC:10943]" 54.4 "19"
"1116" "ENSG00000105287" "PRKD2" 25865 "protein kinase D2 [Source:HGNC Symbol;Acc:HGNC:17293]" 51.95 "19"
"1117" "ENSG00000105290" "APLP1" 333 "amyloid beta (A4) precursor-like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]" 57.02 "19"
"1118" "ENSG00000105323" "HNRNPUL1" 11100 "heterogeneous nuclear ribonucleoprotein U-like 1 [Source:HGNC Symbol;Acc:HGNC:17011]" 48.03 "19"
"1119" "ENSG00000105329" "TGFB1" 7040 "transforming growth factor, beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]" 53.13 "19"
"1120" "ENSG00000105339" "DENND3" 22898 "DENN/MADD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29134]" 51.59 "8"
"1121" "ENSG00000105355" "PLIN3" 10226 "perilipin 3 [Source:HGNC Symbol;Acc:HGNC:16893]" 52.37 "19"
"1122" "ENSG00000105357" "MYH14" 79784 "myosin, heavy chain 14, non-muscle [Source:HGNC Symbol;Acc:HGNC:23212]" 50.8 "19"
"1123" "ENSG00000105372" "RPS19" 6223 "ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]" 53.52 "19"
"1124" "ENSG00000105373" "GLTSCR2" 29997 "glioma tumor suppressor candidate region gene 2 [Source:HGNC Symbol;Acc:HGNC:4333]" 57.2 "19"
"1125" "ENSG00000105397" "TYK2" 7297 "tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]" 54.34 "19"
"1126" "ENSG00000105401" "CDC37" 11140 "cell division cycle 37 [Source:HGNC Symbol;Acc:HGNC:1735]" 54.04 "19"
"1127" "ENSG00000105402" "NAPA" 8775 "N-ethylmaleimide-sensitive factor attachment protein, alpha [Source:HGNC Symbol;Acc:HGNC:7641]" 55.52 "19"
"1128" "ENSG00000105404" "RABAC1" 10567 "Rab acceptor 1 (prenylated) [Source:HGNC Symbol;Acc:HGNC:9794]" 61.62 "19"
"1129" "ENSG00000105409" "ATP1A3" 478 "ATPase, Na+/K+ transporting, alpha 3 polypeptide [Source:HGNC Symbol;Acc:HGNC:801]" 56.13 "19"
"1130" "ENSG00000105426" "PTPRS" 5802 "protein tyrosine phosphatase, receptor type, S [Source:HGNC Symbol;Acc:HGNC:9681]" 52.47 "19"
"1131" "ENSG00000105429" "MEGF8" 1954 "multiple EGF-like-domains 8 [Source:HGNC Symbol;Acc:HGNC:3233]" 54.75 "19"
"1132" "ENSG00000105438" "KDELR1" 10945 "KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1 [Source:HGNC Symbol;Acc:HGNC:6304]" 53.35 "19"
"1133" "ENSG00000105483" "CARD8" 22900 "caspase recruitment domain family, member 8 [Source:HGNC Symbol;Acc:HGNC:17057]" 44.39 "19"
"1134" "ENSG00000105520" "LPPR2" 64748 "Lipid phosphate phosphatase-related protein type 2  [Source:UniProtKB/Swiss-Prot;Acc:Q96GM1]" 57.31 "19"
"1135" "ENSG00000105559" "PLEKHA4" 57664 "pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4 [Source:HGNC Symbol;Acc:HGNC:14339]" 51.07 "19"
"1136" "ENSG00000105568" "PPP2R1A" 5518 "protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:HGNC:9302]" 48.38 "19"
"1137" "ENSG00000105576" "TNPO2" 30000 "transportin 2 [Source:HGNC Symbol;Acc:HGNC:19998]" 54.01 "19"
"1138" "ENSG00000105618" "PRPF31" 26121 "pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]" 57.08 "19"
"1139" "ENSG00000105640" "RPL18A" 6142 "ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]" 58.32 "19"
"1140" "ENSG00000105643" "ARRDC2" 27106 "arrestin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25225]" 58.01 "19"
"1141" "ENSG00000105655" "ISYNA1" 51477 "inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]" 66.58 "19"
"1142" "ENSG00000105662" "CRTC1" 23373 "CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062]" 56.04 "19"
"1143" "ENSG00000105664" "COMP" 1311 "cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]" 62.87 "19"
"1144" "ENSG00000105669" "COPE" 11316 "coatomer protein complex, subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]" 57.06 "19"
"1145" "ENSG00000105675" "ATP4A" 495 "ATPase, H+/K+ exchanging, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:819]" 58.09 "19"
"1146" "ENSG00000105677" "TMEM147" 10430 "transmembrane protein 147 [Source:HGNC Symbol;Acc:HGNC:30414]" 58.59 "19"
"1147" "ENSG00000105696" "TMEM59L" 25789 "transmembrane protein 59-like [Source:HGNC Symbol;Acc:HGNC:13237]" 58.34 "19"
"1148" "ENSG00000105698" "USF2" 7392 "upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]" 57.36 "19"
"1149" "ENSG00000105700" "KXD1" 79036 "KxDL motif containing 1 [Source:HGNC Symbol;Acc:HGNC:28420]" 53.42 "19"
"1150" "ENSG00000105701" "FKBP8" 23770 "FK506 binding protein 8, 38kDa [Source:HGNC Symbol;Acc:HGNC:3724]" 56.64 "19"
"1151" "ENSG00000105711" "SCN1B" 6324 "sodium channel, voltage gated, type I beta subunit [Source:HGNC Symbol;Acc:HGNC:10586]" 55.68 "19"
"1152" "ENSG00000105722" "ERF" 2077 "Ets2 repressor factor [Source:HGNC Symbol;Acc:HGNC:3444]" 64.09 "19"
"1153" "ENSG00000105723" "GSK3A" 2931 "glycogen synthase kinase 3 alpha [Source:HGNC Symbol;Acc:HGNC:4616]" 53.29 "19"
"1154" "ENSG00000105726" "ATP13A1" 57130 "ATPase type 13A1 [Source:HGNC Symbol;Acc:HGNC:24215]" 57.98 "19"
"1155" "ENSG00000105767" "CADM4" 199731 "cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:30825]" 53.28 "19"
"1156" "ENSG00000105819" "PMPCB" 9512 "peptidase (mitochondrial processing) beta [Source:HGNC Symbol;Acc:HGNC:9119]" 38.52 "7"
"1157" "ENSG00000105835" "NAMPT" 10135 "nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]" 37.12 "7"
"1158" "ENSG00000105854" "PON2" 5445 "paraoxonase 2 [Source:HGNC Symbol;Acc:HGNC:9205]" 38.25 "7"
"1159" "ENSG00000105856" "HBP1" 26959 "HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]" 37.95 "7"
"1160" "ENSG00000105953" "OGDH" 4967 "oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:HGNC Symbol;Acc:HGNC:8124]" 46.23 "7"
"1161" "ENSG00000105968" "H2AFV" 94239 "H2A histone family, member V [Source:HGNC Symbol;Acc:HGNC:20664]" 41.41 "7"
"1162" "ENSG00000105971" "CAV2" 858 "caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]" 37.86 "7"
"1163" "ENSG00000105974" "CAV1" 857 "caveolin 1, caveolae protein, 22kDa [Source:HGNC Symbol;Acc:HGNC:1527]" 41.82 "7"
"1164" "ENSG00000105993" "DNAJB6" 10049 "DnaJ (Hsp40) homolog, subfamily B, member 6 [Source:HGNC Symbol;Acc:HGNC:14888]" 48.15 "7"
"1165" "ENSG00000106009" "BRAT1" 221927 "BRCA1-associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]" 55.18 "7"
"1166" "ENSG00000106052" "TAX1BP1" 8887 "Tax1 (human T-cell leukemia virus type I) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]" 36.81 "7"
"1167" "ENSG00000106070" "GRB10" 2887 "growth factor receptor-bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]" 45.52 "7"
"1168" "ENSG00000106078" "COBL" 23242 "cordon-bleu WH2 repeat protein [Source:HGNC Symbol;Acc:HGNC:22199]" 43.44 "7"
"1169" "ENSG00000106105" "GARS" 2617 "glycyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:4162]" 38.71 "7"
"1170" "ENSG00000106123" "EPHB6" 2051 "EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]" 52.35 "7"
"1171" "ENSG00000106153" "CHCHD2" 51142 "coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]" 45.29 "7"
"1172" "ENSG00000106211" "HSPB1" 3315 "heat shock 27kDa protein 1 [Source:HGNC Symbol;Acc:HGNC:5246]" 63.41 "7"
"1173" "ENSG00000106244" "PDAP1" 11333 "PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]" 54.05 "7"
"1174" "ENSG00000106261" "ZKSCAN1" 7586 "zinc finger with KRAB and SCAN domains 1 [Source:HGNC Symbol;Acc:HGNC:13101]" 44.83 "7"
"1175" "ENSG00000106263" "EIF3B" 8662 "eukaryotic translation initiation factor 3, subunit B [Source:HGNC Symbol;Acc:HGNC:3280]" 51.61 "7"
"1176" "ENSG00000106278" "PTPRZ1" 5803 "protein tyrosine phosphatase, receptor-type, Z polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:9685]" 35.6 "7"
"1177" "ENSG00000106299" "WASL" 8976 "Wiskott-Aldrich syndrome-like [Source:HGNC Symbol;Acc:HGNC:12735]" 35.43 "7"
"1178" "ENSG00000106333" "PCOLCE" 5118 "procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]" 60.91 "7"
"1179" "ENSG00000106348" "IMPDH1" 3614 "IMP (inosine 5'-monophosphate) dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]" 57.06 "7"
"1180" "ENSG00000106366" "SERPINE1" 5054 "serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 [Source:HGNC Symbol;Acc:HGNC:8583]" 50.43 "7"
"1181" "ENSG00000106397" "PLOD3" 8985 "procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]" 58.5 "7"
"1182" "ENSG00000106483" "SFRP4" 6424 "secreted frizzled-related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]" 39.07 "7"
"1183" "ENSG00000106538" "RARRES2" 5919 "retinoic acid receptor responder (tazarotene induced) 2 [Source:HGNC Symbol;Acc:HGNC:9868]" 62.42 "7"
"1184" "ENSG00000106546" "AHR" 196 "aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]" 34.56 "7"
"1185" "ENSG00000106554" "CHCHD3" 54927 "coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]" 39.02 "7"
"1186" "ENSG00000106565" "TMEM176B" 28959 "transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]" 51.68 "7"
"1187" "ENSG00000106608" "URGCP" 55665 "upregulator of cell proliferation [Source:HGNC Symbol;Acc:HGNC:30890]" 45.69 "7"
"1188" "ENSG00000106609" "TMEM248" 55069 "transmembrane protein 248 [Source:HGNC Symbol;Acc:HGNC:25476]" 44.8 "7"
"1189" "ENSG00000106615" "RHEB" 6009 "Ras homolog enriched in brain [Source:HGNC Symbol;Acc:HGNC:10011]" 42 "7"
"1190" "ENSG00000106617" "PRKAG2" 51422 "protein kinase, AMP-activated, gamma 2 non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9386]" 48.91 "7"
"1191" "ENSG00000106624" "AEBP1" 165 "AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]" 62.7 "7"
"1192" "ENSG00000106628" "POLD2" 5425 "polymerase (DNA directed), delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]" 55.2 "7"
"1193" "ENSG00000106631" "MYL7" 58498 "myosin, light chain 7, regulatory [Source:HGNC Symbol;Acc:HGNC:21719]" 61.44 "7"
"1194" "ENSG00000106635" "BCL7B" 9275 "B-cell CLL/lymphoma 7B [Source:HGNC Symbol;Acc:HGNC:1005]" 49.06 "7"
"1195" "ENSG00000106636" "YKT6" 10652 "YKT6 v-SNARE homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:16959]" 48.11 "7"
"1196" "ENSG00000106665" "CLIP2" 7461 "CAP-GLY domain containing linker protein 2 [Source:HGNC Symbol;Acc:HGNC:2586]" 52.06 "7"
"1197" "ENSG00000106682" "EIF4H" 7458 "eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]" 45.4 "7"
"1198" "ENSG00000106723" "SPIN1" 10927 "spindlin 1 [Source:HGNC Symbol;Acc:HGNC:11243]" 41.25 "9"
"1199" "ENSG00000106771" "TMEM245" 23731 "transmembrane protein 245 [Source:HGNC Symbol;Acc:HGNC:1363]" 39.52 "9"
"1200" "ENSG00000106772" "PRUNE2" 158471 "prune homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:25209]" 41.04 "9"
"1201" "ENSG00000106780" "MEGF9" 1955 "multiple EGF-like-domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]" 38.18 "9"
"1202" "ENSG00000106799" "TGFBR1" 7046 "transforming growth factor, beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]" 39.03 "9"
"1203" "ENSG00000106803" "SEC61B" 10952 "Sec61 beta subunit [Source:HGNC Symbol;Acc:HGNC:16993]" 42.24 "9"
"1204" "ENSG00000106809" "OGN" 4969 "osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]" 37 "9"
"1205" "ENSG00000106927" "AMBP" 259 "alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]" 49.44 "9"
"1206" "ENSG00000106948" "AKNA" 80709 "AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108]" 50.65 "9"
"1207" "ENSG00000106976" "DNM1" 1759 "dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]" 55.15 "9"
"1208" "ENSG00000106991" "ENG" 2022 "endoglin [Source:HGNC Symbol;Acc:HGNC:3349]" 53.19 "9"
"1209" "ENSG00000106992" "AK1" 203 "adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]" 60.17 "9"
"1210" "ENSG00000107104" "KANK1" 23189 "KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]" 42.03 "9"
"1211" "ENSG00000107130" "NCS1" 23413 "neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953]" 54.7 "9"
"1212" "ENSG00000107164" "FUBP3" 8939 "far upstream element (FUSE) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4005]" 47.12 "9"
"1213" "ENSG00000107186" "MPDZ" 8777 "multiple PDZ domain protein [Source:HGNC Symbol;Acc:HGNC:7208]" 35.81 "9"
"1214" "ENSG00000107223" "EDF1" 8721 "endothelial differentiation-related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]" 57.77 "9"
"1215" "ENSG00000107262" "BAG1" 573 "BCL2-associated athanogene [Source:HGNC Symbol;Acc:HGNC:937]" 46.61 "9"
"1216" "ENSG00000107263" "RAPGEF1" 2889 "Rap guanine nucleotide exchange factor (GEF) 1 [Source:HGNC Symbol;Acc:HGNC:4568]" 48.49 "9"
"1217" "ENSG00000107281" "NPDC1" 56654 "neural proliferation, differentiation and control, 1 [Source:HGNC Symbol;Acc:HGNC:7899]" 65.86 "9"
"1218" "ENSG00000107290" "SETX" 23064 "senataxin [Source:HGNC Symbol;Acc:HGNC:445]" 41 "9"
"1219" "ENSG00000107317" "PTGDS" 5730 "prostaglandin D2 synthase 21kDa (brain) [Source:HGNC Symbol;Acc:HGNC:9592]" 65.11 "9"
"1220" "ENSG00000107331" "ABCA2" 20 "ATP-binding cassette, sub-family A (ABC1), member 2 [Source:HGNC Symbol;Acc:HGNC:32]" 66.66 "9"
"1221" "ENSG00000107341" "UBE2R2" 54926 "ubiquitin-conjugating enzyme E2R 2 [Source:HGNC Symbol;Acc:HGNC:19907]" 42.11 "9"
"1222" "ENSG00000107372" "ZFAND5" 7763 "zinc finger, AN1-type domain 5 [Source:HGNC Symbol;Acc:HGNC:13008]" 39.89 "9"
"1223" "ENSG00000107404" "DVL1" 1855 "dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]" 66.25 "1"
"1224" "ENSG00000107438" "PDLIM1" 9124 "PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]" 43.74 "10"
"1225" "ENSG00000107521" "HPS1" 3257 "Hermansky-Pudlak syndrome 1 [Source:HGNC Symbol;Acc:HGNC:5163]" 49.72 "10"
"1226" "ENSG00000107551" "RASSF4" 83937 "Ras association (RalGDS/AF-6) domain family member 4 [Source:HGNC Symbol;Acc:HGNC:20793]" 53.37 "10"
"1227" "ENSG00000107562" "CXCL12" 6387 "chemokine (C-X-C motif) ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]" 52.37 "10"
"1228" "ENSG00000107581" "EIF3A" 8661 "eukaryotic translation initiation factor 3, subunit A [Source:HGNC Symbol;Acc:HGNC:3271]" 41.68 "10"
"1229" "ENSG00000107679" "PLEKHA1" 59338 "pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1 [Source:HGNC Symbol;Acc:HGNC:14335]" 37.12 "10"
